land,city,name,category,lat,lon,url,partner_since,person
Hessen,Frankfurt am Main ,TechQuartier,KI-Campus-Original ,50110.0,8682.0,https://ki-campus.org/courses/introtoai-tud,,
Hessen,Frankfurt am Main ,Universität Frankfurt,KI-Campus-Original ,50110.0,8682.0,https://ki-campus.org/courses/introtoai-tud,,
Hessen,Frankfurt am Main ,Universität Frankfurt,Lehr-Fellowship,50110.0,8682.0,https://ki-campus.org/node/648,,"Dr. Julia Mordel, Marc Drognitz"
Nordrhein-Westfalen,Essen,FOM Hochschule,KI-Campus-Original,51457.0,7022.0,https://ki-campus.org/courses/wwweki,,
Nordrhein-Westfalen,Essen,Universität Duisburg-Essen,Lehr-Fellowship,51457.0,7022.0,https://ki-campus.org/fellowships,,PD Dr. Derya Gür-Şeker
Nordrhein-Westfalen,Essen,mmb Institut,Partner,51457.0,7022.0,https://ki-campus.org/about,,
Nordrhein-Westfalen,Essen,mmb Institut,Partner,51457.0,7022.0,About us | KI-Campus,,
Nordrhein-Westfalen,Essen,Stifterverband ,Partner,51457.0,7022.0,Projekte | KI-Campus,,
Bayern,Erlangen,Fraunhofer IIS,KI-Campus-Original ,49589.0,11012.0,https://ki-campus.org/courses/erklaerbaresML,,
Bayern,Erlangen,FAU Erlangen-Nürnberg,Lehr-Fellowship,49589.0,11012.0,https://ki-campus.org/fellowship-2021?locale=en,,"Prof. Dr. Kist, Andreas"
Bayern,Erlangen,Fraunhofer IIS,Partner,49589.0,11012.0,Beirat (KI-Campus 2.0) | KI-Campus,,
Thüringen,Erfurt,IU Internationale Hochschule ,KI-Campus-Original ,50984.0,11029.0,https://ki-campus.org/courses/ki-use-cases-iuh,,
Bayern,Eichstätt,KU Eichstätt-Ingolstadt,Lehr-Fellowship,48891.0,11185.0,https://ki-campus.org/node/648,,"Prof. Dr. Meier, Klaus, Dr. Jonas Schützeneder "
Nordrhein-Westfalen,Düsseldorf,Universität Düsseldorf,KI-Campus-Original ,51223.0,6782.0,https://ki-campus.org/courses/kifueralle-hhu,,
Sachsen ,Dresden,TU Dresden ,KI-Campus-Original ,51050.0,13737.0,https://ki-campus.org/courses/ganzheitlicheki-prozessinformatik,,
Hessen,Darmstadt,Technische Universität Darmstadt,Forschungskolleg-Fellowship,49872.0,8651.0,https://ki-campus.org/forschungskolleg,,Marc Pinski
Hessen,Darmstadt,TU Darmstadt,Forschungskolleg-Fellowship,49872.0,8651.0,https://ki-campus.org/fellowships,,
Hessen,Darmstadt,TU Darmstadt,KI-Campus-Original ,49872.0,8651.0,https://www.ki-campus.org/courses/moocrobot-tud2021,,
Bremen,Bremen,Universität Bremen ,Lehr-Fellowship,53079.0,8801.0,https://ki-campus.org/node/648,,Dennis Redeker
Nordrhein-Westfalen,Bonn,Universitätsklinikum Bonn,Forschungskolleg-Fellowship,50737.0,7098.0,https://ki-campus.org/forschungskolleg,,Matthias Laupichler
Nordrhein-Westfalen,Bonn,Universitätsklinikum Bonn ,Forschungskolleg-Fellowship,50737.0,7098.0,https://ki-campus.org/fellowships,,
Nordrhein-Westfalen,Bonn,Deutscher Volkshochschul-Verband,KI-Campus-Original ,50737.0,7098.0,https://www.ki-campus.org/datenfluss,,
Nordrhein-Westfalen,Bonn,Universitätsklinikum Bonn,KI-Campus-Original ,50737.0,7098.0,https://www.ki-campus.org/courses/ki-laura-ukb2022,,
Nordrhein-Westfalen,Bonn,atingi,Partner,50737.0,7098.0,,,
Nordrhein-Westfalen,Bielefeld,Universität Bielefeld,KI-Campus-Original ,52030.0,8532.0,https://ki-campus.org/courses/Datenanalyse-unibi2021,,
Luxemburg ,Bertrange,Cap4 Lab,KI-Campus-Original ,49610.0,6050.0,https://ki-campus.org/courses/mlindustrial-uol2021,,
Berlin ,Berlin ,Charité - Universitätsmedizin Berlin ,KI-Campus-Original ,52520.0,13405.0,https://ki-campus.org/courses/drmedki_grundlagen_cme,,
Berlin ,Berlin ,DFKI,KI-Campus-Original ,52520.0,13405.0,https://ki-campus.org/courses/kileadership-dfki2022,,
Berlin ,Berlin ,FU Berlin ,KI-Campus-Original ,52520.0,13405.0,https://ki-campus.org/courses/learning-analytics,,
Berlin ,Berlin ,HU Berlin ,KI-Campus-Original ,52520.0,13405.0,https://ki-campus.org/courses/kileadership-dfki2022,,
Berlin ,Berlin ,Huawei,KI-Campus-Original ,52520.0,13405.0,https://ki-campus.org/courses/practisingai,,
Berlin ,Berlin ,HWR Berlin,KI-Campus-Original ,52520.0,13405.0,https://ki-campus.org/courses/daethik?,,
Berlin ,Berlin ,IMAGINARY,KI-Campus-Original ,52520.0,13405.0,https://ki-campus.org/courses/explorables-schule,,
Berlin ,Berlin ,Junge Tüftler*innen,KI-Campus-Original ,52520.0,13405.0,https://ki-campus.org/courses/kischule,,
Berlin ,Berlin ,Kiron Open Higher Education,KI-Campus-Original ,52520.0,13405.0,https://ki-campus.org/courses/aiquestions2021,,
Berlin ,Berlin ,FU Berlin,Lehr-Fellowship,52520.0,13405.0,https://ki-campus.org/node/648,,Claudia Ruhland 
Berlin ,Berlin ,HU Berlin ,Lehr-Fellowship,52520.0,13405.0,https://ki-campus.org/fellowships,,Dr. Ole Engel
Berlin ,Berlin ,HU Berlin ,Lehr-Fellowship,52520.0,13405.0,https://ki-campus.org/node/648,,PD Dr. habil. Eleonore Kalisch
Berlin ,Berlin ,HU Berlin ,Lehr-Fellowship,52520.0,13405.0,https://ki-campus.org/fellowships,,
Berlin ,Berlin ,TU Berlin ,Lehr-Fellowship,52520.0,13405.0,https://ki-campus.org/fellowship-2021?locale=en,,"Corvin Jaedicke, Fabian Seipel"
Berlin ,Berlin ,Charité - Universitätsmedizin Berlin,Partner,52520.0,13405.0,https://ki-campus.org/about,,
Berlin ,Berlin ,DFKI,Partner,52520.0,13405.0,https://ki-campus.org/about,,
Berlin ,Berlin ,HU Berlin ,Partner,52520.0,13405.0,https://ki-campus.org/about,,
Berlin ,Berlin ,Stifterverband,Partner,52520.0,13405.0,About us | KI-Campus,,
Berlin,Berlin,Stifterverband,Forschungskolleg-Fellowship,52520.0,13405.0,https://ki-campus.org/forschungskolleg,,Florian Rampelt
Berlin,Berlin,iRights.Lab,KI-Campus-Original,52520.0,13405.0,https://ki-campus.org/ki-in-meinem-alltag/unterrichtsmaterial,,
Berlin,Berlin,AI4Democracy,Partner,52520.0,13405.0,AI4Democracy - Grundlagen zu KI in der Demokratie | KI-Campus,,
Berlin,Berlin,Gesellschaft für Informatik (GI),Partner,52520.0,13405.0,https://ki-campus.org/beirat,,
Berlin,Berlin,GovTech Campus Deutschland,Partner,52520.0,13405.0,,,
Berlin,Berlin,KI Bundesverband,Partner,52520.0,13405.0,,,
Berlin ,Berlin,Stifterverband ,Partner,52520.0,13405.0,Projekte | KI-Campus,,
Luxemburg,Belval Esch-sur-Alzette,University of Luxembourg Competence Centre,KI-Campus-Original,49502.0,5972.0,https://ki-campus.org/courses/mlindustrial-uol2021,,
Schweiz,Basel ,Universität Basel,Partner,47559.0,7588.0,https://ki-campus.org/beirat,,
Bayern,Bamberg,Universität Bamberg,KI-Campus-Original ,49898.0,10902.0,https://ki-campus.org/courses/dlgrundschule,,
Bayern,Aschaffenburg,TH Aschaffenburg,Lehr-Fellowship,49980.0,49980.0,https://ki-campus.org/fellowships,,Prof. Dr. Sabrina Schork
Nordrhein-Westfalen,Aachen,RWTH Aachen,Forschungskolleg-Fellowship,50.775,6.083,https://ki-campus.org/forschungskolleg,,Marie Decker
Nordrhein-Westfalen,Aachen,RWTH Aachen,Lehr-Fellowship,50.775,6.083,https://ki-campus.org/fellowships,,Jonas Klingebiel
Nordrhein-Westfalen,Aachen,RWTH Aachen,Lehr-Fellowship,50.775,6.083,https://ki-campus.org/node/648,,Prof. Ph.D. Florian Wellmann
Nordrhein-Westfalen,Aachen,RWTH Aachen,Lehr-Fellowship,50.775,6.083,https://ki-campus.org/fellowships,,
